STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,rep_airp,Reporting airport,schedule,Type of schedule,tra_cov,Transport coverage,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2004,,809478,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2005,,790317,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2006,,742356,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2007,,778209,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2008,,849442,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2009,,802056,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2010,,815257,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2011,,825149,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2012,,792343,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2013,,756493,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2014,,776193,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2015,,840491,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2016,,863812,,,,,
dataflow,ESTAT:AVIA_PAOA(1.0),"Air passenger transport by type of schedule, transport coverage and main airports",A,Annual,PAS,Passenger,PAS_BRD,Passengers on board,AT_LOWG,GRAZ airport,TOT,Total,INTL,International transport,2017,,824854,,,,,
