STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,tra_cov,Transport coverage,schedule,Type of schedule,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2002-Q1,,3086940,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2002-Q2,,3977783,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2002-Q3,,4692313,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2002-Q4,,3438395,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2003-Q1,,3326024,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2003-Q2,,3966636,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2003-Q3,,4966309,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2003-Q4,,3822808,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2004-Q1,,3807862,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2004-Q2,,4835038,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2004-Q3,,5760523,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2004-Q4,,4226978,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2005-Q1,,4144032,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2005-Q2,,5149648,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2005-Q3,,6133956,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2005-Q4,,4517769,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2006-Q1,,4453482,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2006-Q2,,5488277,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2006-Q3,,6287669,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2006-Q4,,4777324,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2007-Q1,,4939088,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2007-Q2,,5874953,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2007-Q3,,6771095,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2007-Q4,,5512932,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2008-Q1,,5671397,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2008-Q2,,6374749,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2008-Q3,,6888709,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2008-Q4,,5154526,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2009-Q1,,4838800,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2009-Q2,,5657974,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2009-Q3,,6405540,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2009-Q4,,5107296,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2010-Q1,,5142099,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2010-Q2,,5904090,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2010-Q3,,7103317,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2010-Q4,,5554661,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2011-Q1,,5379627,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2011-Q2,,6521970,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2011-Q3,,7514907,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2011-Q4,,5868100,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2012-Q1,,5773091,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2012-Q2,,6833908,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2012-Q3,,7579936,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2012-Q4,,5895842,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2013-Q1,,5654961,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2013-Q2,,6704691,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2013-Q3,,7533799,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2013-Q4,,5933579,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2014-Q1,,5703982,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2014-Q2,,7046056,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2014-Q3,,7818563,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2014-Q4,,5997451,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2015-Q1,,5626689,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2015-Q2,,7121207,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2015-Q3,,8199866,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2015-Q4,,6034200,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2016-Q1,,5752828,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2016-Q2,,6965301,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2016-Q3,,8221209,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2016-Q4,,6442925,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2017-Q1,,6014901,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2017-Q2,,7581247,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2017-Q3,,8479296,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2017-Q4,,6475872,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2018-Q1,,6296607,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2018-Q2,,7893604,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2018-Q3,,9320471,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2018-Q4,,7824195,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2019-Q1,,7542616,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2019-Q2,,9376265,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2019-Q3,,10373934,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2019-Q4,,8518974,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2020-Q1,,6113561,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2020-Q2,,176186,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2020-Q3,,2079642,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2020-Q4,,829876,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2021-Q1,,590114,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2021-Q2,,1446651,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2021-Q3,,5246517,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2021-Q4,,3904118,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2022-Q1,,3738165,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2022-Q2,,6948893,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2022-Q3,,8977665,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2022-Q4,,6853181,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2023-Q1,,6552336,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2023-Q2,,8759449,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2023-Q3,,10129245,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2023-Q4,,7768353,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2024-Q1,,7237295,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2024-Q2,,9227236,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2024-Q3,,10671054,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2024-Q4,,8311528,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2025-Q1,,7313059,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2025-Q2,,9626627,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2025-Q3,,10932405,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,AT,Austria,2025-Q4,,8818097,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,BA,Bosnia and Herzegovina,2021-Q1,,71193,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,BA,Bosnia and Herzegovina,2021-Q2,,169954,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,BA,Bosnia and Herzegovina,2021-Q3,,455164,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,BA,Bosnia and Herzegovina,2021-Q4,,291348,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,BA,Bosnia and Herzegovina,2022-Q1,,224285,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,BA,Bosnia and Herzegovina,2022-Q2,,491719,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,BA,Bosnia and Herzegovina,2022-Q3,,682489,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,BA,Bosnia and Herzegovina,2022-Q4,,364848,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,BA,Bosnia and Herzegovina,2023-Q1,,349739,,,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",Q,Quarterly,PAS,Passenger,PAS_BRD,Passengers on board,TOTAL,Total transport,TOT,Total,BA,Bosnia and Herzegovina,2023-Q2,,534048,,,,,
