FLIGHT_MONTH,YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2021-01-01,2021,1,ALBANIA,LA,4879.1484,519,FALSE
2021-01-01,2021,1,ARMENIA,UD,8157.91375,371,FALSE
2021-01-01,2021,1,AUSTRIA,LO,46703.9983,3479,FALSE
2021-01-01,2021,1,BELGIUM,EB,274233.83305,5191,FALSE
2021-01-01,2021,1,BOSNIA AND HERZEGOVINA,LQ,2594.60025,284,FALSE
2021-01-01,2021,1,BULGARIA,LB,26254.60405,1305,FALSE
2021-01-01,2021,1,CANARY ISLANDS,GC,73770.0892,6367,FALSE
2021-01-01,2021,1,CROATIA,LD,5109.584,1114,FALSE
2021-01-01,2021,1,CYPRUS,LC,16613.39995,734,FALSE
2021-01-01,2021,1,CZECHIA,LK,17720.06955,1684,FALSE
2021-01-01,2021,1,DENMARK,EK,54200.89675,3395,TRUE
2021-01-01,2021,1,ESTONIA,EE,3872.3184,719,FALSE
2021-01-01,2021,1,FINLAND,EF,46255.1163,2912,FALSE
2021-01-01,2021,1,FRANCE,LF,757434.31275,33522,FALSE
2021-01-01,2021,1,GEORGIA,UG,11761.7216,299,FALSE
2021-01-01,2021,1,GERMANY,ED,981455.62565,26556,FALSE
2021-01-01,2021,1,GREECE,LG,46167.9062,5760,FALSE
2021-01-01,2021,1,HUNGARY,LH,17433.4137,1134,FALSE
2021-01-01,2021,1,ICELAND,BI,8301.7377,920,FALSE
2021-01-01,2021,1,IRELAND,EI,61861.2187,2462,FALSE
2021-01-01,2021,1,ITALY,LI,277629.0698,18185,FALSE
2021-01-01,2021,1,KOSOVO,BK,8809.1262,633,FALSE
2021-01-01,2021,1,LATVIA,EV,9488.6757,837,FALSE
2021-01-01,2021,1,LITHUANIA,EY,7663.230100000001,778,FALSE
2021-01-01,2021,1,LUXEMBOURG,EL,138462.12145,1307,FALSE
2021-01-01,2021,1,MALTA,LM,7450.667200000001,696,FALSE
2021-01-01,2021,1,"MOLDOVA, REPUBLIC OF",LU,4923.09975,325,FALSE
2021-01-01,2021,1,MONACO,LN,26.154449999999997,37,FALSE
2021-01-01,2021,1,MONTENEGRO,LY,1167.7876,195,FALSE
2021-01-01,2021,1,NETHERLANDS,EH,521065.81235,9982,FALSE
2021-01-01,2021,1,NORTH MACEDONIA,LW,3828.33835,349,FALSE
2021-01-01,2021,1,NORWAY,EN,89911.8365,15594,TRUE
2021-01-01,2021,1,POLAND,EP,63352.4159,5059,FALSE
2021-01-01,2021,1,PORTUGAL,LP,116613.09765,6207,TRUE
2021-01-01,2021,1,ROMANIA,LR,37356.2335,3070,FALSE
2021-01-01,2021,1,SERBIA,LY,13359.6139,1112,FALSE
2021-01-01,2021,1,SLOVAKIA,LZ,3034.30355,346,FALSE
2021-01-01,2021,1,SLOVENIA,LJ,1698.4477000000002,390,FALSE
