STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,tra_cov,Transport coverage,aircraft,Aircraft,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2010-Q1,,71409,,,,,
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2010-Q2,,74201,,,,,
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2010-Q3,,79356,,,,,
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2010-Q4,,70608,,,,,
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2011-Q1,,71382,,,,,
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2011-Q2,,74757,,,,,
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2011-Q3,,77634,,,,,
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2011-Q4,,68976,,,,,
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2012-Q1,,68718,,,,,
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2012-Q2,,73629,,,,,
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2012-Q3,,75776,,,,,
dataflow,ESTAT:AVIA_TF_ACC(1.0),Aircraft traffic data by reporting country,Q,Quarterly,FLIGHT,Flight,CAF,"Commercial air flights (passengers, freight and mail)",TOTAL,Total transport,TOTAL,Total,AT,Austria,2012-Q4,,66300,,,,,
