YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2014,1,ALBANIA,LA,8385.115,786,FALSE
2014,1,ARMENIA,UD,15061.587,770,FALSE
2014,1,AUSTRIA,LO,172995.853,13318,FALSE
2014,1,BELGIUM,EB,275833.31,11323,FALSE
2014,1,BOSNIA AND HERZEGOVINA,LQ,2967.895,463,FALSE
2014,1,BULGARIA,LB,26913.58,1924,FALSE
2014,1,CANARY ISLANDS,GC,294290.518,13565,FALSE
2014,1,CROATIA,LD,10805.379,1790,FALSE
2014,1,CYPRUS,LC,36304.438,1409,FALSE
2014,1,CZECHIA,LK,60171.985,4789,FALSE
2014,1,DENMARK,EK,198126.59,12808,TRUE
2014,1,FINLAND,EF,181595.661,10006,FALSE
2014,1,FRANCE,LF,1518614.25,68816,FALSE
2014,1,GEORGIA,UG,16083.504,912,FALSE
2014,1,GERMANY,ED,2040690.293,77883,FALSE
2014,1,GREECE,LG,84129.12,8933,FALSE
2014,1,HUNGARY,LH,43211.811,3346,FALSE
2014,1,ICELAND,BI,15538.141,1444,FALSE
2014,1,IRELAND,EI,130426.053,8261,FALSE
2014,1,ITALY,LI,830865.712,53096,FALSE
2014,1,KOSOVO,BK,6261.396000000001,529,FALSE
2014,1,LATVIA,EV,25759.971,2490,FALSE
2014,1,LITHUANIA,EY,17014.021,1703,FALSE
2014,1,LUXEMBOURG,EL,88276.988,2147,FALSE
2014,1,MALTA,LM,19475.412,1091,FALSE
2014,1,"MOLDOVA, REPUBLIC OF",LU,7404.58,656,FALSE
2014,1,MONACO,LN,19.058,26,FALSE
2014,1,MONTENEGRO,LY,3382.4700000000003,448,FALSE
2014,1,NETHERLANDS,EH,770084.575,19842,FALSE
2014,1,NORTH MACEDONIA,LW,4742.063,410,FALSE
2014,1,NORWAY,EN,234763.6,32094,TRUE
2014,1,POLAND,EP,127167.925,11311,FALSE
2014,1,PORTUGAL,LP,232907.521,10718,TRUE
2014,1,ROMANIA,LR,59200.279,4825,FALSE
2014,1,SERBIA,LY,23776.438000000002,2236,FALSE
2014,1,SLOVAKIA,LZ,6156.502,819,FALSE
2014,1,SLOVENIA,LJ,8088.472000000001,1096,FALSE
2014,1,SPAIN,LE,827650.738,41676,FALSE
2014,1,SWEDEN,ES,229004.715,20721,FALSE
2014,1,SWITZERLAND,LS,398167.886,20138,FALSE
2014,1,TÜRKIYE,LT,798697.976,39965,FALSE
2014,1,UNITED KINGDOM,EG,2438260.983,81336,TRUE
2014,2,ALBANIA,LA,6391.973,634,FALSE
2014,2,ARMENIA,UD,13478.960000000001,711,FALSE
2014,2,AUSTRIA,LO,155482.015,12461,FALSE
2014,2,BELGIUM,EB,255298.822,10808,FALSE
2014,2,BOSNIA AND HERZEGOVINA,LQ,2820.4,437,FALSE
2014,2,BULGARIA,LB,24601.867,1785,FALSE
2014,2,CANARY ISLANDS,GC,267030.731,12351,FALSE
2014,2,CROATIA,LD,9910.297,1651,FALSE
2014,2,CYPRUS,LC,30831.402000000002,1270,FALSE
2014,2,CZECHIA,LK,52404.901,4401,FALSE
2014,2,DENMARK,EK,186345.123,12734,TRUE
2014,2,FINLAND,EF,166862.444,9825,FALSE
2014,2,FRANCE,LF,1392332.444,66440,FALSE
2014,2,GEORGIA,UG,13886.849,797,FALSE
2014,2,GERMANY,ED,1884625.145,77673,FALSE
2014,2,GREECE,LG,75644.95,8154,FALSE
2014,2,HUNGARY,LH,39162.218,3114,FALSE
2014,2,ICELAND,BI,14306.415,1383,FALSE
2014,2,IRELAND,EI,114909.011,7550,FALSE
2014,2,ITALY,LI,744959.997,49421,FALSE
2014,2,KOSOVO,BK,5418.352,449,FALSE
2014,2,LATVIA,EV,23253.599000000002,2179,FALSE
2014,2,LITHUANIA,EY,15021.177,1553,FALSE
2014,2,LUXEMBOURG,EL,80881.843,2082,FALSE
2014,2,MALTA,LM,17458.064,966,FALSE
2014,2,"MOLDOVA, REPUBLIC OF",LU,5921.7080000000005,556,FALSE
2014,2,MONACO,LN,19.808,27,FALSE
2014,2,MONTENEGRO,LY,2869.378,407,FALSE
2014,2,NETHERLANDS,EH,697020.453,19082,FALSE
2014,2,NORTH MACEDONIA,LW,4517.758,409,FALSE
2014,2,NORWAY,EN,221647.209,30252,TRUE
2014,2,POLAND,EP,114736.148,11021,FALSE
2014,2,PORTUGAL,LP,205309.748,9732,TRUE
2014,2,ROMANIA,LR,60092.090000000004,4698,FALSE
2014,2,SERBIA,LY,20569.672,1975,FALSE
2014,2,SLOVAKIA,LZ,5339.055,785,FALSE
2014,2,SLOVENIA,LJ,7025.531,988,FALSE
2014,2,SPAIN,LE,775955.036,39930,FALSE
2014,2,SWEDEN,ES,217783.359,20965,FALSE
2014,2,SWITZERLAND,LS,357279.593,18641,FALSE
2014,2,TÜRKIYE,LT,741531.931,37437,FALSE
